Well,Fluor,Target,Content,Sample,Biological Set Name,BioRad Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
B03,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B04,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B04,FAM,,Unkn,,,35.90297718,35.90297718,0,NaN,NaN,NaN,0,55,
B04,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B04,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B05,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B05,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B05,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B05,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B06,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B06,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B06,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B06,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B07,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B07,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B07,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B07,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B08,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B08,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B08,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B08,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B09,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B09,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B09,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B09,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B10,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B10,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B10,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B10,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B11,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B11,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B11,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B11,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B12,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B12,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B12,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B12,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B13,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B13,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B13,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B13,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B14,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B14,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B14,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B14,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B15,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B15,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B15,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B15,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B16,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B16,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B16,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B16,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B17,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B17,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B17,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B17,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B18,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B18,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B18,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B18,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B19,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B19,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B19,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B19,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B20,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B20,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B20,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B20,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B21,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B21,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B21,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B21,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B22,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B22,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B22,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B22,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B23,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B23,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
